处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,完全重复行直接删除，无信息增益,5630,5630,0
中位数填充缺失值-Tenure,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,264
中位数填充缺失值-WarehouseToHome,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,251
中位数填充缺失值-HourSpendOnApp,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,255
中位数填充缺失值-OrderAmountHikeFromlastYear,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,265
中位数填充缺失值-CouponUsed,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,256
中位数填充缺失值-OrderCount,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,258
中位数填充缺失值-DaySinceLastOrder,使用总体中位数填补，稳健不将缺失误判为0，不按Churn分组,5630,5630,307
类别标准化-PreferredLoginDevice,同义业务类别统一合并,5630,5630,1231
类别标准化-PreferredPaymentMode,同义业务类别统一合并,5630,5630,638
类别标准化-PreferedOrderCat,同义业务类别统一合并,5630,5630,809
类型转换-Churn转int,流失标识转为整数类型便于建模,5630,5630,0
类型转换-Complain转int,投诉标识转为整数类型便于建模,5630,5630,0
